PLAYER_FIRST_NAME,PLAYER_LAST_NAME,TEAM_ABBREVIATION,POSITION,PTS,REB,AST,EFFICIENCY
Wilt,Chamberlain,GSW,C,30.1,22.9,4.4,19.133333333333333
Nikola,Jokić,DEN,C,29.6,12.7,10.2,17.5
Giannis,Antetokounmpo,MIL,F,30.4,11.9,6.5,16.266666666666666
Bob,Pettit,ATL,F,26.4,16.2,3.0,15.199999999999998
Elgin,Baylor,LAL,F,27.4,13.5,4.3,15.066666666666665
Luka,Dončić,LAL,F-G,28.2,8.2,7.7,14.700000000000001
Shai,Gilgeous-Alexander,OKC,G,32.7,5.0,6.4,14.700000000000001
Oscar,Robertson,SAC,G,25.7,7.5,9.5,14.233333333333334
Bill,Russell,BOS,C,15.1,22.5,4.3,13.966666666666667
Michael,Jordan,CHI,G,30.1,6.2,5.3,13.866666666666667
Jayson,Tatum,BOS,F-G,26.8,8.7,6.0,13.833333333333334
Cade,Cunningham,DET,G,26.1,6.1,9.1,13.766666666666667
Larry,Bird,BOS,F,24.3,10.0,6.3,13.533333333333331
LeBron,James,LAL,F,24.4,7.8,8.2,13.466666666666663
Karl-Anthony,Towns,NYK,C-F,24.4,12.8,3.1,13.433333333333335
Anthony,Davis,DAL,F-C,24.7,11.6,3.5,13.266666666666666
Jerry,West,LAL,G,27.0,5.8,6.7,13.166666666666666
Kareem,Abdul-Jabbar,LAL,C,24.6,11.2,3.6,13.133333333333333
George,Mikan,LAL,C,23.1,13.4,2.8,13.1
Domantas,Sabonis,SAC,F-C,19.1,13.9,6.0,13.0
